,category,company,employment_type,job_description,job_requirement,job_skills,job_title,job_uuid,location,salary_max,salary_min,seniority
0,Engineering ...,PROPERTYGURU PTE. LTD.,Permanent ,"Our websites attract more than 100 million monthly page-views which result in non-stop massive click-stream for behaviour data with around 130 million of users. As a result, PropertyGuru has the most comprehensive data for property supply and demand in Southeast Asia.Our Data Science team is empowered to build unique and compelling user experiences using machine learning and data.Your work will be to design, develop, support and maintain our existing infrastructure and democratizing data access within and outside the company. Your work will support the following areas:Real time streaming infrastructure:Enable teams to move quickly and get accurate information to the right people with minimum delay would be the key focus of the data engineering teamAdvance our streaming platform which allows easy development of the streaming applicationsInteractive Data Analytics:Query the data and compute the aggregates on various dimensions to support the various decisions made on the data and machine learning products that are built around itInfrastructure management:Help manage multiple terabyte-scale clusters, easy-to-use systems to handle security and replication are in developmentData workflow management:Use Airflow and Azkaban to schedule data related workflows supporting various analytical and machine learning workloadsMachine learning infrastructure:Developthe end-to-end platformthat will allow us to develop and deploy various machine learning models into the PropertyGuru websites and apps with easeData engineers play a very big role in this platform development and has the potential to significantly cut down the development time of the machine learning models","Bachelor’s degree in IT or relevant field. Alternatively, lesser qualifications with strong experience in machine learning will also be considered2+ years of industry experience in working with terabyte scale datasetsWorking knowledge of relational databases and query authoring (SQL)Experience with data workflow management tools such as Azkaban, AirflowAbility to write high performance quality codeExperience in Python is a must. Other equivalent languages like C++, Java, Go, Scala is a plus.Experience with open source technologies like Kafka, Presto and Spark would be a plusAwareness of various cloud-based solutions such as AWS Redshift, Google Big Query, Qubole is a plusVisit us at: htps://www.propertygurugroup.com/","Data Analysis, SQL, Microsoft Excel, Microsoft Office, Analysis, Databases, Business Analysis, Data Mining, Business Intelligence, Project Management, Statistics, SAS, Research, R, Access, Analytics, Management, PowerPoint, SPSS, Matlab",Data Engineer,82e462a13cadc477f93d57ad6812d1d1,Central,7000.0,5000.0,Professional ...
1,Engineering ...,PROPERTYGURU PTE. LTD.,Permanent ,"Our websites attract more than 100 million monthly page-views which result in non-stop massive click-stream for behaviour data with around 130 million of users. As a result, PropertyGuru has the most comprehensive data for property supply and demand in Southeast Asia.Our Data Science team is empowered to build unique and compelling user experiences using machine learning and data.Your work will be to design, develop, support and maintain our existing infrastructure and democratizing data access within and outside the company. Your work will support the following areas:Real time streaming infrastructure:Enable teams to move quickly and get accurate information to the right people with minimum delay would be the key focus of the data engineering teamAdvance our streaming platform which allows easy development of the streaming applicationsInteractive Data Analytics:Query the data and compute the aggregates on various dimensions to support the various decisions made on the data and machine learning products that are built around itInfrastructure management:Help manage multiple terabyte-scale clusters, easy-to-use systems to handle security and replication are in developmentData workflow management:Use Airflow and Azkaban to schedule data related workflows supporting various analytical and machine learning workloadsMachine learning infrastructure:Developthe end-to-end platformthat will allow us to develop and deploy various machine learning models into the PropertyGuru websites and apps with easeData engineers play a very big role in this platform development and has the potential to significantly cut down the development time of the machine learning models","Bachelor’s degree in IT or relevant field. Alternatively, lesser qualifications with strong experience in machine learning will also be considered2+ years of industry experience in working with terabyte scale datasetsWorking knowledge of relational databases and query authoring (SQL)Experience with data workflow management tools such as Azkaban, AirflowAbility to write high performance quality codeExperience in Python is a must. Other equivalent languages like C++, Java, Go, Scala is a plus.Experience with open source technologies like Kafka, Presto and Spark would be a plusAwareness of various cloud-based solutions such as AWS Redshift, Google Big Query, Qubole is a plusVisit us at: htps://www.propertygurugroup.com/","Data Analysis, SQL, Microsoft Excel, Microsoft Office, Analysis, Databases, Business Analysis, Data Mining, Business Intelligence, Project Management, Statistics, SAS, Research, R, Access, Analytics, Management, PowerPoint, SPSS, Matlab",Data Engineer,763708ca5a581db4389a766ef71654a0,Central,9000.0,7000.0,Professional ...
2,"Accounting ,Auditing ,Taxation",ERNST & YOUNG ADVISORY PTE. LTD.,Permanent ,"Join Fraud Investigation & Dispute Services (FIDS) within Assurance and you will help clients work through complex issues of fraud, regulatory compliance and business disputes. You will be part of a multidisciplinary, culturally aligned team that works with clients and their legal advisors.The opportunityYou will experience ongoing professional development through diverse experiences, world-class learning and individually tailored coaching. That’s how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. Sound interesting? Well this is just the beginning. Because whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.Skills and attributes for successWork on client engagement teams in carrying out both reactive and proactive forensic analysis of large amounts of structured and unstructured data involving a wide range of database management software, statistical and predictive machine learning software, and link analysis and data visualization software.Involve in project activities including data collection and load, data quality assessment, data cleansing and enhancing, complex data transformation, relationship profiling, sampling and extrapolation, segmentation, statistical modelling, segmentation, structured data mining, text mining and analytical matching.Work in our specialist forensic technology data analytics lab and on site to help clients leverage knowledge from their data for measurement of fraud risks and losses, prevention, continuous monitoring, detection and investigation of occupational fraud, waste and abuse, financial crime and other form non-compliant activities.Work with clients, fraud examiners, internal and external auditors, lawyers and regulatory authorities in sometimes sensitive and adversarial situations.Help to prepare sections of expert reports, including review, analysis and verification of evidence data and identifying key issues.Be willing to learn, and with time develop and improve leading edge methodologies applied to forensic data analytics engagement that are both reactive and proactive.","To qualify for the role you must haveStrong academic record with a degree in a relevant fieldAt least eight years of experience in auditing, forensic accounting, investigation or litigation support.Candidates with compliance experience within Life Science industry is encouraged to applyAbility to run forensic assignments across multiple jurisdictionsExperience in case management and managing portfolio of clientsA team player with an investigative mindsetStrong analytical and problem-solving skillsExcellent command of spoken and written EnglishTraveling expectedWhat we look forWe’re interested in leaders with a genuine creative vision and the confidence to make it happen. You can expect plenty of autonomy in this role, so you’ll also need the ability to take initiative and seek out opportunities to improve our current relationships and processes. If you’re serious about forensic investigations and ready to take on some of our clients’ most complex issues, this role is for you.What working at EY offersEY offers a competitive remuneration package where you’ll be rewarded for your individual and team performance. We are committed to being an inclusive employer and are happy to consider flexible working arrangements. Plus, we offer:Support, coaching and feedback from some of the most engaging colleagues aroundOpportunities to develop new skills and progress your careerThe freedom and flexibility to handle your role in a way that’s right for youAbout EYAs a global leader in assurance, tax, transaction and advisory services, we hire and develop the most passionate people in their field to help build a better working world. This starts with a culture that believes in giving you the training, opportunities and creative freedom to make things better. So that whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible.Join us in building a better working world. Apply now.","Accounting, Microsoft Excel, Microsoft Word, General Ledger, Microsoft Office, Account Reconciliation, Budgets, Outlook, PowerPoint, Accounts Payable, Customer Service, Accounts Receivable, Payroll, Financial Analysis, Financial Reporting, Management, Auditing, Financial Statements, Journal Entries, QuickBooks","Fraud Investigation & Dispute Services (FIDS) Senior Manager, Assurance Services, Singapore",c59d6037f441a5b3b43ca4daff84806a,Central,16000.0,8000.0,Manager
3,"Sciences ,Laboratory ,R&D",A*STAR RESEARCH ENTITIES,Contract ,"The Agency for Science, Technology and Research (A*STAR) is Singapore's lead public sector agency that fosters world-class scientific research and talent to drive economic growth and transform Singapore into a vibrant knowledge-based and innovation driven economy.  For more information about A*STAR, please visit: www.a-star.edu.sg•Develop expertise and technology ownership in process monitoring, preventive maintenance and machine learning for sub-surface enhancement processes.•Drive collaborative and in-house projects to advance and expand internal capabilities.•Lead and deliver projects with industry members to develop production-ready solutions.•Design and execute technical plan to fulfil project objectives and deliverables.•Clearly communicate technical details to customers from both technical and business background.•Report and disseminate technical findings internally within ARTC and externally t:o industry members, scientific community or professional  bodies.•Guide junior engineers and assistant engineers in technical development","Bachelor or Master's Degree in physical sciences or engineering.Proven track record in building practical solutions that work and been implemented.An independent learner and thinker with an inquistive mind5+ years experience in manufactur1ng-related or applied technology development workTechnical knowledge in manutactur1ng processes and specialise in sensor selection, process monitoring, data-processing, interpret data in physic and data-driven based.Constantly seek to develop him/herselfThe above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","Matlab, Algorithms, C++, Machine Learning, C, Python, Java, Simulations, Linux, Software Engineering, Programming, R&D, Computer Science, LaTeX, Engineering, Image Processing, Signal Processing, Software Development, Data Mining, Research",Research Engineer / Senior Research Engineer (ARTC),cec1905d6444838c2d7108c1a04049a3,West,5000.0,2500.0,Executive
4,"Sciences ,Laboratory ,R&D",A*STAR RESEARCH ENTITIES,Contract ,"Specialize in applying data analytics, machine learning, and data mining technology in power system analysis.Specialize in data collection, database technology and data modeling system/product design.Specialize in power system economics and planning, optimization and economic dispatch.Familiar with PLC application, power grid communication technology.Familiar with actual grid operation and energy management/SCADA system.Familiar with standard/codes or practical experience in modern power system such as Microgrid and smartgrid, energy storage system would be advantageous.To support industry projects, research grant call projects and internal projects in power system related topics.To prepare detailed technical analysis reports as required.To work with team member for experimentation of research work at EPGC facility.","PhD in Power System operation and analysis or Computer Science3-4 years' research and/or industry experience in big data analytics related to power system operation and optimizationKnowledge in power market operation and optimizationKnowledgeable in database language and design e.g. MS SQL database.Proficiency in data analytics programming language e.g. R, C/C++, Python, MATLAB.Effective learning, communication and project management skillsAbility to work with a teamWilling to work in Jurong Island. (Shuttle-buses are available at various locations)The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.","R&D, Molecular Biology, Biotechnology, Lifesciences, Biochemistry, Science, Drug Discovery, Research, Cell Culture, Algorithms, Matlab, Machine Learning, Pharmaceutical Industry, Cell Biology, Chemistry, Protein Chemistry, Simulations, Assay Development, Data Analysis, Drug Development","Scientist (Power System Analytics), EPGC",d2da04bb4033006cb580fc80e752fa9e,West,11800.0,5900.0,Non-executive
5,Engineering ...,Company Undisclosed,Permanent ,"About The RoleAs IAG focuses on creating an organisation that is customer-led and data-driven, the Data Scientist is a fundamental role in delivering the data science on which IAG's future decisions will be built. You will contribute to Data Sciences activities and will be an advocate for globAs IAG looks to become more data driven, it is critical that this transformation is conducted in a technically robust manner. This position plays a key role in bringing the change about.You will participate in (some or all of) design and analysis of in-market experiments around pricing and direct/digital marketing, longitudinal studies of customer experience and behaviour, risk cost modelling using both traditional and modern techniques across a range of products, determination of optimal commercial rates, fraud analytics, development of an increasingly detailed understanding of the impact of natural perils as well as evaluation of a wide range of initiatives to improve efficiency of internal operations. The list is far from exhaustive as opportunities for analytics are limited only by our own imagination.You will actively educate junior colleagues about the benefits of analytical and experimental approach. You will support conversations with our operating businesses and the Business Focussed Teams, ensuring valuable opportunities are pursued.You will provide mentoring and guidance for junior data scientists and analysts via projects, peer reviews and occasional educational sessions as a key part of your role.Role ResponsibilitiesCoordinate / deliver analytics projectsYou will be a key member of a broad range of analytics projects that will unlock immediate value for IAG.Types of projects may include, depending on your skills and preferences:Designing, implementing and running of in market experiments across a range of customer experiences, then analysing the results and devising personalisation strategies to put into the market at key touch points.Risk cost estimation using a variety of statistical, actuarial and machine learning techniques,Natural peril modelling / pricingDetermination / impact analysis of commercial ratesMarketing analytics for direct/digital including uplift modelling/optimisationOperational analytics and fraud detectionHelping to design any IT implementation required to enable the above to be executedProducing visualisations and reports that can be presented to key stakeholdersEnsuring the approaches used are repeatable and automated wherever possibleFollowing appropriate model validation protocols, from cross validation to in-market testing to peer review, depending on the circumstancesMentor colleagues and foster a knowledge driven high performance cultureYou will actively help to educate the wider team which will involve:Guiding project members in their work, particularly where new techniques are being adoptedPeer reviewing work to ensure it is of suitable quality, working with colleagues to ensure continuous improvementCoaching and mentoring more junior colleagues to ensure their ongoing technical and leadership developmentProvide opportunities for people to learn across the division, including leading and participating in internal educational sessionsHelp foster the right culture and a diverse work environment that encourages people to join and inspires people to stay.Nurture and develop talent so that people are continually learning and always operating at their best.Role model the right ethics, values and principle based approaches to ensure our business is sustainable for the futureEnsure IAG’s behavioural requirements are upheld at all timesProviding assistance and guidance to junior colleagues taking exams and qualificationsHelp to run internal 'hackathon' style sessionsPursue analytics innovationIt is essential that we keep thinking about what are the most valuable applications of analytics / data science for the business.You will be continuously on the lookout and recommending new opportunities and process improvements.You will participate in study sessions / reading groups / community of practice events, independent or guided study or independent research in the areas you want to develop.","These are the skills and experience we are looking forExperience in manipulating, processing and extracting value from large disconnected datasets, building predictive and machine learning model, visualization of insights, and model development lifecycleProgramming skills in languages like SQL, Python and relevant packages (like numpy and pandasExperience in processing Gigabytes of structured and unstructured data in a distributed computing environment using PySpark or ScalaExperience with AWS or GCP distributed data tooling or machine learning stacksAdvanced in statistical analysis, quantitative analytics, forecasting/predictive analytics, multivariate testing, and optimisation algorithms.Advanced knowledge of analytics concepts and practices, whether it is traditional statistics, machine learning or NLP and image recognition using deep learning on TensorflowProven ability to coach, mentor and develop junior colleagues to ensure their ongoing technical and leadership developmentAdvanced communication in order to discuss complex information, analysis and findings to technical, and non-technical audiencesCollaborate closely with Analytics, Engineering, and Products teams by demonstrating cross-functional resource interaction to deliver ML modelsExperience with traditional actuarial pricing methods for general insurance classes, including reserving techniques.Insurance industry domain expertise and familiarity with relevant legislation and the regulatory environment.Advanced understanding of geospatial data related technologies.Experience scoping/running analytics projectsExperience in AWS serverless architecture, microservices architecture, container deploymentExperience in building analytics applications for deployment in real or near real timeMaster's Degree or PhD in Statistics, Actuarial Science, Finance, Mathematics, Computer Science, Engineering, Physics, Economics or other relevant technical field;","Analytics, Data Analysis, Analysis, Statistical Modeling, Web Analytics, Predictive Analytics, Predictive Modeling, Data Mining, Strategy, Segmentation, SAS, Customer Insight, Online Advertising, Business Analytics, Digital Marketing, E-commerce, Google Analytics, Omniture, Business Intelligence, Digital Strategy",Data Scientist,972f2d0cd68c45fbf7d50920fc229036,Central,12000.0,7000.0,Professional
6,"Public ,Civil Service",Smart Nation and Digital Government Office,Full Time,"The Smart Nation and Digital Government Office (SNDGO), under the Prime Minister’s Office (PMO) plans and prioritizes key Smart Nation and digital government projects, raises the standards of Government ICT and services, builds long-term capabilities for the public sector, and promotes adoption and participation in digital and smart innovations. It takes a whole-of-nation effort, and we will actively engage the public, the industry and fellow agencies as we build a Smart Nation together.ResponsibilitiesReporting to the Deputy Director,you will be part of theCapability Building Directorate at SNDGO.The team focuses on formulating and executing plans to build up the needed level of talent and manpower within the Singapore Public Service for digital capabilities. The directorate also works on defining key Whole-of-Government research and technology thrusts and roadmaps, and oversees engagements with relevant research institutes for digital technologies. Lastly, the team will also oversee the strategic engagements to deepen capabilities and partnership with key suppliers of Government IT, together with the Government Technology Agency (GovTech).You will be part of the whole of nation movement to drive the Smart Nation endeavour and define the future of Singapore. You will enjoy a fulfilling career and gain meaningful experiences in the following areas of work:Formulation and execution oftalent attraction, development and managementframeworks to deepen ICT capabilities within Government.Developcompetency frameworksfor ICT and Smart System capabilities such as data science, cybersecurity, sensors and IoT, application development and ICT infrastructureDevelop thewhole-of-government (WOG) experienceand instincts throughcollaborationwith agencies such as GovTech, Cyber Security Agency and InfoComm and Media Development Authority.RequirementsWe are in search of motivated individuals who share the following traits and experience:Value integrity, collaborative teamwork and take pride in going the extra mile to provide excellent serviceStrong passion in shaping Singapore into a Smart NationAt least 2 years of experience in policy formulation and reviewsExperience in conceptualising and implementing talent development strategies or digital-related fields as such analytics/machine learning, network communications (this is advantageous but not a requirement)Strong communication and interpersonal skills to engage a wide spectrum of external and internal stakeholders; including multi-agency and inter-departmental teamsExcellent written communication skillsResourceful and proactiveAnalytical and creative, with an eye for detailOnly shortlisted applicants will be notified within 2 weeks after closing date.Successful candidates will be offered a 2-year contract in the first instance.",None,"Human Resources, Employee Relations, Recruiting, Onboarding, Performance Management, HRIS, Talent Acquisition, Talent Management, Employee Benefits, Personnel Management, Benefits Administration, Training, Deferred Compensation, Employee Engagement, New Hire Orientations, Succession Planning, Interviews, HR Policies, Applicant Tracking Systems, Management",Manager  /  Senior Manager (Talent and Manpower),cb3cb0fd4276956c30baab4084802b3a,,0.0,0.0,
7,Information Technology,SCHELLDEN GLOBAL PTE. LTD.,Full Time,"You will be responsible for end to end development of Data Analytics use cases, company Data Lake platform and tools. The role must be hands on and will be willingness to work as DevOps model.What You’ll Do: Massive data: You will source / examine, analyze, engineer data pipelines forgigabytes/terabytes of structured and unstructured data with our platform to createvalue for customers. Pushing the limits: This role will be on the cutting edge of our Data / Machine Learningplatform. As we push to solve more of our customer challenges, you will be prototypingnew features, tools and ideas. Innovate at a very fast pace to maintain our competitiveedge. Linux hacking: You will be masterfully using the command line, including tools likevi/emacs and understanding beyond basics of grep, bash, awk, sed, etc to aggressivelydive into data, systems, and compute platforms to get the results you are seeking. Production deployment: You will be responsible for integration and deployment of themachine learning pipelines into production where your ideas can come to life. Coordinate and work with cross functional teams, sometimes located at different geolocations.","What you have done: Commercial software engineering: You have 3+ years of professional softwaredevelopment experience with languages and systems such as Java, Python (PySpark),and version control (git), with good analytical & debugging skills. Big data: You have extensive experience with data analytics and working knowledge ofbig data infrastructure such as Hadoop Eco System, HDFS, Spark, Google Cloud, BigQuery, Data Flow (nice to have). You've routinely built data pipelines withgigabytes/terabytes of data and understand the challenges of manipulating such largedatasets. Data Modeling: Flair for data, schema, data model, PL/SQL, Star & snow flake schema,how to bring efficiency in data modeling for efficient querying data for analysis,understands criticality TDD and develops data validation techniques. Real Time Systems: Understands evolution of databases for in-memory, NoSQL &indexing technologies along with experience on real-time & stream processing systemslike kafka, Storm. Project management: You demonstrate excellent project and time management skills,exposure to scrum or other agile practices in JIRA. CS fundamentals: You have earned at least a B.S. / MS in Computer Science, or relateddegree AND you have a strong ethos of continuous learning.","Engineering, Project Management, Testing, Software Development, Linux, Product Development, Java, C++, Integration, C, Manufacturing, Program Management, Management, Simulations, Engineering Management, Semiconductors, Embedded Systems, Unix, JavaScript, Project Planning",senior big data engineer,6b9679d4563c270b58f3a9a89638564a,Islandwide,7000.0,4000.0,Senior Management
8,Banking and Finance,Company Undisclosed,Full Time,"·         Lead the definition of activities, scope, and timelines on data science projects.·         Can support the delivery of multiple concurrent projects following best practices·         Can discover, interpret and document unique insights in large-scale distributed datasets through exploratory analysis and the application of advanced analytical methodologies.·         Create statistical and machine learning models in multiple technologies using best-in-class data science approaches.·         Guide members of the delivery team during projects·         Work with the analytics team to define and execute data science solutions that address use cases and business requirements·         Manage Hive environment and making data available to Data Scientists·         Work with Data Scientists in designing and developing processes producing data for analytics·         Solve performance issues and optimize python, R, Scala, Java jobs.·         Tune a job including parameters, more efficient API calls","Knowledge in at least 1 of the following data science domainsText Mining / NLPGraph and Network AnalysisDeep LearningGeospatial AnalysisSignal Processing, Image, VideoPredictive Modeling and Recommender SystemsKnowledge of at least open-source scientific or statistical programming languages such as R or PythonStrong background in statistics and applied mathematics.Fluency in SQL and good knowledge of relational databasesPassionate about asking and answering questions in large, distributed datasetsBachelor's Degree in Computer Science/ Math/ Statistics. Any suitable combination of education, training, or experience will also be considered.","Management, Leadership, Strategy, Strategic Planning, Business Development, Business Strategy, Marketing, Start-ups, Program Management, Sales, New Business Development, Project Management, Product Management, Marketing Strategy, Team Building, Strategic Partnerships, Cross-functional Team Leadership, Sales Management, Product Development, Risk Management","Vice President, Portfolio & Regulatory Management – Data Analytics",e11a65ce7a59ca9f6a19bcf76c62ac68,Central,10000.0,9000.0,Senior Management
9,Banking and Finance,Company Undisclosed,Full Time,"·         Lead the definition of activities, scope, and timelines on data science projects.·         Can support the delivery of multiple concurrent projects following best practices·         Can discover, interpret and document unique insights in large-scale distributed datasets through exploratory analysis and the application of advanced analytical methodologies.·         Create statistical and machine learning models in multiple technologies using best-in-class data science approaches.·         Guide members of the delivery team during projects·         Work with the analytics team to define and execute data science solutions that address use cases and business requirements·         Manage Hive environment and making data available to Data Scientists·         Work with Data Scientists in designing and developing processes producing data for analytics·         Solve performance issues and optimize python, R, Scala, Java jobs.·         Tune a job including parameters, more efficient API calls","Knowledge in at least 1 of the following data science domainsText Mining / NLPGraph and Network AnalysisDeep LearningGeospatial AnalysisSignal Processing, Image, VideoPredictive Modeling and Recommender SystemsKnowledge of at least open-source scientific or statistical programming languages such as R or PythonStrong background in statistics and applied mathematics.Fluency in SQL and good knowledge of relational databasesPassionate about asking and answering questions in large, distributed datasetsEducation:Bachelor's Degree in Computer Science/ Math/ Statistics. Any suitable combination of education, training, or experience will also be considered.","Management, Leadership, Strategy, Strategic Planning, Business Development, Business Strategy, Marketing, Start-ups, Program Management, Sales, New Business Development, Project Management, Product Management, Marketing Strategy, Team Building, Strategic Partnerships, Cross-functional Team Leadership, Sales Management, Product Development, Risk Management","Vice President, Portfolio & Regulatory Management – Data Analytics",dda2dea97c28a907fe2b7ee0346d4e77,Central,10000.0,9000.0,Senior Management
